task,codec,downscale,quality,bpp,metric,step
detection,vvenc,0,50,0.006878570946831978,0.0,50000
detection,vvenc,0,45,0.028689541615280877,0.000399427714290346,50000
detection,vvenc,0,40,0.11075949540607558,0.006200581056105023,50000
