task,codec,downscale,quality,bpp,metric,step
detection,vvenc,0,50,0.005326255894135259,0.0,50000
detection,vvenc,0,45,0.03896645538041307,0.009019128269050788,50000
detection,vvenc,0,40,0.24146705920631198,1.832575073234048e-05,50000
