task,codec,downscale,quality,bpp,metric,step
detection,vvenc,0,50,0.0176334003712613,0.3691521318595321,50000
detection,vvenc,0,45,0.0307969186455597,0.5643065432447476,50000
detection,vvenc,0,40,0.050934802671598355,0.6629895713137549,50000
detection,vvenc,0,35,0.08511129743244936,0.7187253774854346,50000
detection,vvenc,0,30,0.14057034954620964,0.7433555735390287,50000
detection,vvenc,0,25,0.2295938353020927,0.755063915687212,50000
