task,codec,downscale,quality,bpp,metric,step
detection,vvenc,0,50,0.061655151204251794,0.5796465071889043,50000
detection,vvenc,0,45,0.14943499354085343,0.7064043753059918,50000
detection,vvenc,0,40,0.31276083695496115,0.7528104476623375,50000
